Account Name,Churned currency,Churned Amount,Approx. Close Date,Territory,Billing Country,Screening,Churn Reason,Churn Detail,Churn Summary,Agency Group,Brandwatch Products,Fiscal Period
Nethodology,USD,759,5/30/2022,EMEA,Spain,Extra Small,Nature of Business,,,,Audiences - Professional;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch for Agencies Core Account (BCR);Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Logo recognition;,Q2-2022
VMLY&R,USD,2994.06,5/31/2022,EMEA,United Kingdom,Medium Business,Nature of Business,,,WPP,,Q2-2022
Wunderman Thompson Atlanta,USD,2149,6/6/2022,Americas,United States,Large Business,Adoption,,,WPP,,Q2-2022
Asesorías e Inversiones Nexos SpA,USD,516,6/7/2022,Americas,Chile,Extra Small,Other,,,,B4A - Brandwatch Consumer Research (BCR) Core Account - Standard - Mentions Account;Historical Mentions - Standard;,Q2-2022
Ernst & Young U.S. LLP,USD,2000,6/8/2022,Americas,United States,Top Business,Nature of Business,,,EY,API+;API+;Brandwatch Enterprise Research;Brandwatch Enterprise Research;Image Insights;Image Insights;,Q2-2022
Convoy S.R.L.,USD,900,6/13/2022,Americas,Argentina,Medium,Price/Packaging,,,,,Q2-2022
Mavens of London,USD,0,6/19/2022,EMEA,United Kingdom,Medium Business,Other,,,,,Q2-2022
Wipro Designit Services Inc.,USD,1500,6/28/2022,Americas,United States,Medium Business,Price/Packaging,,,,Audiences - Enterprise;,Q2-2022
Hill Holliday,USD,7288,6/30/2022,Americas,United States,Medium Business,CX,,,Interpublic Group,,Q2-2022
Jellyfish Livewire,USD,27679.82,7/1/2022,EMEA,United Kingdom,Extra Small,Product,,,,All historical data on query save;API+;Brandwatch Enterprise Research;Custom Expert Hours Ongoing;Image Insights;LexisNexis for BCR;Third Party Services - Kinetiq Agent Bundles: 10 Agents;Vizia reporting;Vizia Theme;,Q3-2022
Ogilvy Colombia,USD,1150,7/12/2022,Americas,Colombia,Extra Small,Product,,,WPP,,Q3-2022
Asociación Colombiana para el Avance de la Ciencia - ACAC,USD,5639,7/12/2022,Americas,Colombia,Extra Small,Adoption,,,,Brandwatch Premium Research;Mentions Exports (Upgrade to 100k per day);,Q3-2022
LionX,USD,560,7/14/2022,Americas,Brazil,Extra Small,Adoption,,,,Brandwatch Pro Research;,Q3-2022
Ballast Research,USD,3708,7/18/2022,Americas,United States,Extra Small,Nature of Business,,,,All historical data on query save;Brandwatch Premium Research;LexisNexis for BCR;,Q3-2022
Mind+Matter US,USD,4367,7/19/2022,Americas,United States,Large Business,Nature of Business,,,,,Q3-2022
PricewaterhouseCooper LLP,USD,2052,7/25/2022,Americas,United States,Top Business,Price/Packaging,,,,,Q3-2022
Soloed,USD,700,7/26/2022,Americas,Brazil,Extra Small,Nature of Business,,,,Brandwatch Pro Research;,Q3-2022
NTT DATA INC,USD,466,7/28/2022,Americas,United States,Top Business,Other,,,,API+;B4A - Brandwatch Consumer Research (BCR) Individual Account - Premium - Mentions account;B4A - Brandwatch Consumer Research (BCR) Individual Account - Premium - Mentions account;Brandwatch Enterprise Research - Mentions Account;Historical Mentions;Historical Mentions;Historical Mentions;Image Insights;Vizia;Vizia Theme;,Q3-2022
Fors Marsh Group,USD,1200,7/29/2022,Americas,United States,Medium Business,Nature of Business,,,,All historical data on query save;All historical data on query save;API+;API+;Brandwatch Enterprise Research;Brandwatch Enterprise Research;Image Insights;Image Insights;LexisNexis for BCR;,Q3-2022
The Sound,USD,3392,8/8/2022,Americas,Canada,Extra Small,Product,,,,API+;Brandwatch Enterprise Research;Image Insights;,Q3-2022
RTI International (Parent),USD,1100,8/8/2022,Americas,United States,Large Business,Nature of Business,,,,All historical data on query save;All historical data on query save;All historical data on query save;All historical data on query save;All historical data on query save;Brandwatch Premium Research;Brandwatch Premium Research;Brandwatch Premium Research;Brandwatch Premium Research;Brandwatch Premium Research;Mentions Exports (Upgrade to 100k per day);Mentions Exports (Upgrade to 100k per day);Mentions Exports (Upgrade to 100k per day);Mentions Exports (Upgrade to 100k per day);Mentions Exports (Upgrade to 100k per day);,Q3-2022
Narrative Strategies,USD,3791,8/9/2022,Americas,United States,Extra Small,Other,,,,All historical data on query save;Brandwatch Premium Research;Third Party Services - Kinetiq Agent Bundles: 10 Agents;,Q3-2022
ECHO TRENDS,USD,1000,8/16/2022,Americas,Mexico,Extra Small,Nature of Business,,,,Brandwatch Pro Research;,Q3-2022
Hall and Partners (UK),USD,5817.65,9/8/2022,EMEA,United Kingdom,Medium Business,Price/Packaging,,,Omnicom,All historical data on query save;Brandwatch Consumer Research (BCR) - Additional Users;Brandwatch Premium Research;,Q3-2022
Intouch Group,USD,9252,9/8/2022,Americas,United States,Large Business,Price/Packaging,,,,80 Expert Hours;API+;Brandwatch Enterprise Research - Mentions Account;Historical Mentions;Image Insights;Resold Services - Buzzsumo Enterprise;Vizia reporting;Vizia Theme;,Q3-2022
RTI International (Parent),USD,1000,9/8/2022,Americas,United States,Large Business,Nature of Business,,,,All historical data on query save;All historical data on query save;All historical data on query save;All historical data on query save;All historical data on query save;Brandwatch Premium Research;Brandwatch Premium Research;Brandwatch Premium Research;Brandwatch Premium Research;Brandwatch Premium Research;Mentions Exports (Upgrade to 100k per day);Mentions Exports (Upgrade to 100k per day);Mentions Exports (Upgrade to 100k per day);Mentions Exports (Upgrade to 100k per day);Mentions Exports (Upgrade to 100k per day);,Q3-2022
Dentsu US,USD,3733,9/9/2022,Americas,United States,Large Business,Nature of Business,,,Dentsu,All historical data on query save;API+;API+;Brandwatch Enterprise Research;Brandwatch Enterprise Research;Brandwatch Premium;Extra Users;Image Insights;Image Insights;,Q3-2022
"Ogilvy & Mather Portugal, Directo - Servic?os S.A",USD,746.35,9/13/2022,EMEA,Portugal,Small Business,Nature of Business,,,WPP,Brandwatch Pro Research;,Q3-2022
"YMEDIA WINK IPROSPECT, S.A.U.",USD,2520.8,9/13/2022,EMEA,Spain,Medium Business,Adoption,,,Dentsu,Brandwatch Premium Research;,Q3-2022
European Service Network,USD,516.35,9/23/2022,EMEA,Belgium,Medium Business,,,,,Resold Services - Buzzsumo Enterprise;,Q3-2022
Viola Communications LLC,USD,2888.53,10/3/2022,EMEA,United Arab Emirates,Medium Business,Adoption,,,,Brandwatch Premium Research - Mentions account;Historical Mentions;,Q4-2022
Reactor,USD,700,10/3/2022,Americas,Chile,Extra Small,Nature of Business,,,,Brandwatch Pro Research;,Q4-2022
Pernod Ricard Brazil,USD,560,10/7/2022,Americas,Brazil,Large Business,Nature of Business,,,,Brandwatch Pro Research;,Q4-2022
Fantastica,USD,700,10/17/2022,Americas,Colombia,Extra Small,Adoption,,,,Brandwatch Pro Research;,Q4-2022
Agência Um,USD,667,10/17/2022,EMEA,Switzerland,Extra Small,Nature of Business,,,,Brandwatch Pro Research;,Q4-2022
Acceleration Point,USD,833,10/19/2022,Americas,United States,Extra Small,,,,WPP,API+;Brandwatch Enterprise Research;Image Insights;Resold Services - Buzzsumo Enterprise;,Q4-2022
CAF - Banco de Desarrollo de América Latina,USD,2030,10/27/2022,Americas,Peru,Large Business,Price/Packaging,,,,Brandwatch Premium Research;,Q4-2022
saga communication,USD,1099.4,10/31/2022,EMEA,Morocco,Small Business,Nature of Business,,,,Brandwatch Consumer Research (BCR) - Lite Pack;,Q4-2022
NTT DATA INC,USD,2868,11/1/2022,Americas,United States,Top Business,,,,,API+;B4A - Brandwatch Consumer Research (BCR) Individual Account - Premium - Mentions account;B4A - Brandwatch Consumer Research (BCR) Individual Account - Premium - Mentions account;Brandwatch Enterprise Research - Mentions Account;Historical Mentions;Historical Mentions;Historical Mentions;Image Insights;Vizia;Vizia Theme;,Q4-2022
Jungle Creations,USD,5177.71,11/2/2022,EMEA,United Kingdom,Medium Business,Adoption,,,,All historical data on query save;All historical data on query save;Brandwatch Premium Research;Brandwatch Premium Research;,Q4-2022
Bookmark Content Limited,USD,1420.59,11/2/2022,EMEA,United Kingdom,Medium Business,Other,,,WPP,Brandwatch Pro Research - Mentions Account;Historical Mentions - Standard;,Q4-2022
Rayz,USD,0,11/3/2022,EMEA,Saudi Arabia,Extra Small,,,,,,Q4-2022
ToneView Analytics,USD,7500,11/3/2022,Americas,United States,Extra Small,,,,,All historical data on query save;Brandwatch Premium Research;,Q4-2022
Crisp Thinking Group Ltd,USD,135.29,11/3/2022,EMEA,United Kingdom,Medium Business,,,,,API+;Brandwatch Premium Research - Mentions account;Historical Mentions;,Q4-2022
Eleffanta,USD,525,11/8/2022,Americas,Mexico,Extra Small,Price/Packaging,Budget cuts,"This is a small client and they didn't have the resources to use the platform nor any budget for expert hours, therefore when evaluating budget cuts for this year, Brandwatch was one of the options. They lost a very big part of the team, therefore a lot of internal restructuring.",,Brandwatch Pro Research;,Q4-2022
Metia (US),USD,499,11/8/2022,Americas,United States,Large Business,,,,,API+;API+;Audiences - Strategic;B4A - Brandwatch Consumer Research (BCR) Core Account - Enterprise - Mentions Account;B4A - Brandwatch Consumer Research (BCR) Individual Account - Enterprise - Mentions Account;Historical Mentions;Historical Mentions;Image Insights;Image Insights;,Q4-2022
"Cheil Central America, Inc",USD,3496,11/8/2022,Americas,Panama,Top Business,Price/Packaging,,,,Brandwatch Consumer Research (BCR) Agency Client Account;Custom Expert Hours Ongoing;Historical Mentions;Vizia;Vizia Theme;,Q4-2022
"Cuadrante Estrategia y Comunicación, S.C.",USD,1000,11/14/2022,Americas,Mexico,Extra Small,Nature of Business,,,,B4A - Brandwatch Consumer Research (BCR) - Core Account - Premium;,Q4-2022
Butchershop,USD,3667,11/14/2022,Americas,United States,Small Business,Product,Data (coverage/language/quantity),"Overall, we are skeptical about the trustworthiness and robustness of the data and data sources. There is too heavy of an emphasis on Twitter, and although the platform does pull from other sources like news and forums, it feels imbalanced and skewed towards Twitter, particularly the audience & demographic insights. Many of our client projects are in the B2B space, so we hoped to see more capabilities with publically available LinkedIn data - which we were told was part of the product roadmap during the sales process and have yet to see this introduced. We also believed that there would be more capabilities to leverage data from review sites as part of the core product and have been underwhelmed in that area. We are unable to leverage the 50 Instagram and 50 Facebook channels, which I believe comes standard with the platform, but because we do not manage any social media accounts for our clients it's a data source we don't have access to and can't use beyond just monitoring our own corporate Instagram channel. We understand this is a limitation of the current data privacy and API restrictions for those channels, but it's led us to question the long-term value and risks of Brandwatch as privacy regulations and restrictions continue to evolve across all platforms. In other words, we're anticipating that access to data will become even more limited rather than more expansive and inclusive of the types of sources we'd be most interested in. For an organization of our size, the 20 queries we were told we needed for our package during the sales process is too many and we are not able to utilize them all. And lastly, the onboarding period & online coaching experience was sub-par. It felt unnecessarily prolonged and our rep appeared to be unfamiliar with the platform features and did not demonstrate expertise. The custom query and dashboard delivered as part of the onboarding package was disappointing and made me feel that I knew how to use the platform better than our coach.",,Brandwatch Premium Research;,Q4-2022
Apella Advisors,USD,3445.94,11/15/2022,EMEA,United Kingdom,Extra Small,Price/Packaging,,,,40 Expert Hours;Audiences - Professional;Brandwatch Premium Research;LexisNexis for BCR;,Q4-2022
Roche International LTD,USD,2917,11/15/2022,EMEA,Switzerland,Top Business,Price/Packaging,,,,Audiences - Professional;Brandwatch Consumer Research (BCR) - Premium - Hootsuite;Vizia reporting;,Q4-2022
Translation,USD,3630,11/22/2022,Americas,United States,Large Business,Price/Packaging,,,Havas,Brandwatch Premium Research;LexisNexis for BCR;,Q4-2022
Maggiore Marketing,USD,710,11/22/2022,Americas,Panama,Extra Small,Product,Data (coverage/language/quantity),"The client is now focusing on search data more than social listening. They have requested we reach out to them if we even have google search, bing, etc data integrated in BCR. This is their main focus for their pharma brands",,Brandwatch Pro Research;,Q4-2022
Brainsonic,USD,1035,11/24/2022,EMEA,France,Small Business,Nature of Business,,,,Brandwatch Pro Research;,Q4-2022
121 Relationship Marketing S.A.C.,USD,700,11/28/2022,Americas,Peru,Small Business,Price/Packaging,,,,Brandwatch Pro Research;,Q4-2022
Spray Films,USD,785,11/29/2022,Americas,Brazil,Extra Small,Nature of Business,,,,Brandwatch Pro Research;,Q4-2022
Smartup México S.A. de C.V.,USD,800,11/30/2022,Americas,Mexico,Extra Small,Price/Packaging,,,,Brandwatch Consumer Research (BCR) Agency Client Account;Historical Mentions;,Q4-2022
Credera,USD,4620,12/1/2022,Americas,United States,Large Business,Nature of Business,,,Omnicom,API+;Brandwatch Enterprise Research;Image Insights;,Q4-2022
Nethodology,USD,569.25,12/1/2022,EMEA,Spain,Extra Small,Nature of Business,,,,Audiences - Professional;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch for Agencies Core Account (BCR);Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Logo recognition;,Q4-2022
TTEC (UK) Consulting Limited,USD,6494.12,12/5/2022,EMEA,United Kingdom,Top Business,CX,Internal staff turnover,"Complete turnover of original stakeholders, end client (VW) didn't buy into this or have the resources to look through TTECs reporting",,Brandwatch Premium Research;,Q4-2022
Mindshare Canada,USD,2091,12/7/2022,Americas,Canada,Small Business,Price/Packaging,,,WPP,Audiences - Professional;Brandwatch Premium Research;Resold Services - Buzzsumo Enterprise;,Q4-2022
LTE Next Level,USD,600,12/9/2022,Americas,United States,Medium,Adoption,Strategy change,The client decided to focus on small focus groups and other marketing research strategies to investigate about their brands.,,Influencer Discovery;,Q4-2022
"Mindshare USA, LLC",USD,2750,12/14/2022,Americas,United States,Top Business,Adoption,,,WPP,All historical data on query save;API+;Audiences - Enterprise;B4A - Brandwatch Consumer Research (BCR) - Individual Account - Premium;Brandwatch Enterprise Research;Image Insights;,Q4-2022
Nethodology,USD,1222.45,12/20/2022,EMEA,Spain,Extra Small,Nature of Business,Loss of end-client / product offering,"Agency wasn't able to renew the client. No further feedback has been shared, sorry.",,Audiences - Professional;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch for Agencies Core Account (BCR);Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Logo recognition;,Q4-2022
